Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.56158,60.07010975,66.55142812,64.65560501,11.18427208,9.713167026,4.797218535,11.74378127,17.54683833,9.670327772
42046.56169,60.0941215,66.55455979,64.68309695,11.21584187,9.668905542,5.141019933,11.80097624,17.78757829,9.068775077
42046.56181,60.12794746,66.64430811,65.93404664,11.20000975,9.457236384,5.619500181,12.24877989,18.21951091,9.189009527
42046.56193,60.15523774,66.47220381,63.60354251,11.01813349,9.854645414,5.457530502,12.41414734,16.85089746,8.008188299
42046.56204,60.16685589,66.77496118,65.64844143,11.01608786,9.370915698,5.328661308,12.33578877,17.13271913,10.46426867
42046.56216,60.20225831,66.83604446,65.33212742,10.99486137,9.540804004,5.353666343,12.18090152,17.22731529,10.0345789
42046.56227,60.22251919,66.67888277,63.77818991,10.98228403,9.626939267,4.934432714,12.06048126,17.26191309,8.912139549
42046.56239,60.2241176,66.61463052,64.04167433,11.18275301,9.569959743,5.3922124,12.17105647,17.39175684,8.333935861
42046.5625,60.23683602,66.62597902,62.3181302,10.8692082,9.325768886,5.104779831,12.02552648,16.6352763,8.357570509
42046.56262,60.27826141,66.70561823,63.59335108,10.69967346,9.598647209,5.289789794,11.68210343,17.06251848,9.2606187
42046.56274,60.27045967,66.8201173,63.25369195,10.53733801,8.917912645,5.192581922,11.8988863,17.14176591,9.565207164
42046.56285,60.30697479,66.7412157,64.93478988,11.12932452,10.50138812,5.343274366,12.00564195,16.88353782,9.071623101
42046.56297,60.30468016,66.79581272,62.70506104,10.84328323,8.719605888,5.189070685,12.01001615,16.46666543,9.476419662
42046.56308,60.31110171,66.73301604,63.55737484,11.09986445,9.651298154,5.145608466,11.54035715,17.19072477,8.929521851
42046.5632,60.31911914,66.85075892,64.54033769,11.62124604,9.063299435,5.230772556,12.25603608,16.79297167,9.576011909
